latitude,longitude,kde,kde_norm
-34.9153,146.8696,50.9,83.5
-34.9153,147.4638,53.847,88.33
-34.9153,148.058,56.633,92.9
-34.9153,148.6522,58.965,96.73
-34.9153,149.2464,60.511,99.27
-34.9153,149.8406,60.958,100.0
-34.9153,150.4348,60.077,98.55
-34.9153,151.029,57.787,94.8
-34.9153,151.6232,54.195,88.91
-34.9153,152.2174,49.584,81.34
-34.9153,152.8116,44.346,72.75
-34.9153,153.4058,38.886,63.79
-34.9153,154.0,33.531,55.01
-34.3475,113.0,6.011,9.86
-34.3475,113.5942,7.525,12.34
-34.3475,114.1884,8.966,14.71
-34.3475,114.7826,10.147,16.65
-34.3475,115.3768,10.884,17.85
-34.3475,115.971,11.053,18.13
-34.3475,116.5652,10.627,17.43
-34.3475,117.1594,9.684,15.89
-34.3475,117.7536,8.382,13.75
-34.3475,118.3478,6.905,11.33
-34.3475,118.942,5.424,8.9
-34.3475,119.5362,4.066,6.67
-34.3475,120.1304,2.909,4.77
-34.3475,120.7246,1.985,3.26
-34.3475,121.3188,1.292,2.12
-34.3475,121.913,0.801,1.31
-34.3475,131.4203,0.619,1.02
