Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2633,Cocoa Beans and products,2018,2018,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2633,Cocoa Beans and products,2018,2018,1000 t,92,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2633,Cocoa Beans and products,2018,2018,kg/cap,3.66,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2633,Cocoa Beans and products,2018,2018,kcal/cap/d,35.46,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2633,Cocoa Beans and products,2018,2018,million Kcal,325127.54,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2633,Cocoa Beans and products,2018,2018,g/cap/d,1,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2633,Cocoa Beans and products,2018,2018,t,9196.75,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2633,Cocoa Beans and products,2018,2018,g/cap/d,1.88,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2633,Cocoa Beans and products,2018,2018,t,17263.98,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2633,Cocoa Beans and products,2019,2019,1000 t,105,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2633,Cocoa Beans and products,2019,2019,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2633,Cocoa Beans and products,2019,2019,1000 t,26,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2633,Cocoa Beans and products,2019,2019,1000 t,79,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2633,Cocoa Beans and products,2019,2019,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2633,Cocoa Beans and products,2019,2019,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2633,Cocoa Beans and products,2019,2019,1000 t,79,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2633,Cocoa Beans and products,2019,2019,kg/cap,3.09,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2633,Cocoa Beans and products,2019,2019,kcal/cap/d,30.04,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,661,Food supply (kcal),S2633,Cocoa Beans and products,2019,2019,million Kcal,279418.34,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,674,Protein supply quantity (g/capita/day),S2633,Cocoa Beans and products,2019,2019,g/cap/d,0.85,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,671,Protein supply quantity (t),S2633,Cocoa Beans and products,2019,2019,t,7883.21,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,684,Fat supply quantity (g/capita/day),S2633,Cocoa Beans and products,2019,2019,g/cap/d,1.6,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,681,Fat supply quantity (t),S2633,Cocoa Beans and products,2019,2019,t,14843.42,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5611,Import quantity,S2633,Cocoa Beans and products,2020,2020,1000 t,100,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5072,Stock Variation,S2633,Cocoa Beans and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5911,Export quantity,S2633,Cocoa Beans and products,2020,2020,1000 t,27,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5301,Domestic supply quantity,S2633,Cocoa Beans and products,2020,2020,1000 t,74,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5131,Processing,S2633,Cocoa Beans and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5170,Residuals,S2633,Cocoa Beans and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,5142,Food,S2633,Cocoa Beans and products,2020,2020,1000 t,74,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),36,Australia,645,Food supply quantity (kg/capita/yr),S2633,Cocoa Beans and products,2020,2020,kg/cap,2.86,E,Estimated value,
FBS,Food Balances (2010-),36,Australia,664,Food supply (kcal/capita/day),S2633,Cocoa Beans and products,2020,2020,kcal/cap/d,25.25,E,Estimated value,
